video_id,title,url
K5LjI3EXuJM,Angry Sellers & Deals Gone Wrong | Pawn Stars,https://www.youtube.com/watch?v=K5LjI3EXuJM
2INO9BOFDnY,Star-Studded Signatures: Big Names on Big Items | Pawn Stars,https://www.youtube.com/watch?v=2INO9BOFDnY
doIkJqLLO7A,Rick's BIGGEST Regrets | Compilation | Pawn Stars,https://www.youtube.com/watch?v=doIkJqLLO7A
6o4xW0OYgf0,Ancient Artifacts and Coins That Stunned the Experts | Compilation | Pawn Stars,https://www.youtube.com/watch?v=6o4xW0OYgf0
9flOzjFZrCc,"""I Give You Cash"" Rick Dispenses Big Bills | Compilation | Pawn Stars",https://www.youtube.com/watch?v=9flOzjFZrCc
BsfaxO2oa_I,"1600s Coins, Cannons, and Curiosities | Pawn Stars",https://www.youtube.com/watch?v=BsfaxO2oa_I
zyKRbK84S1w,"Could Really Use Some Money: Pokémon Cards, Guitars & Wild Pawn Deals | Pawn Stars",https://www.youtube.com/watch?v=zyKRbK84S1w
CSPy986_1MQ,Don't Mess With Texas Deals! | Compilation | Pawn Stars,https://www.youtube.com/watch?v=CSPy986_1MQ
dNLWsk-QzHs,Famous Fits: Celebrity Outfits & Iconic Suits | Pawn Stars,https://www.youtube.com/watch?v=dNLWsk-QzHs
3V5q3xTvSu8,Decoding Ancient Items with Phineas | Pawn Stars,https://www.youtube.com/watch?v=3V5q3xTvSu8
ErdNlqXZrZo,Top 4 Ancient Egyptian Deals | Compilation | Pawn Stars,https://www.youtube.com/watch?v=ErdNlqXZrZo
QcGcbytQEcw,All is Fair in Love and Pawn! | Pawn Stars,https://www.youtube.com/watch?v=QcGcbytQEcw
a4C2v-emAIE,Rockin’ Deals: Classic Jukeboxes and Music Machines | Compilation | Pawn Stars,https://www.youtube.com/watch?v=a4C2v-emAIE
jSFv1uZ70us,Are These Antique Items FAKES?! *Mega Compilation* | Pawn Stars,https://www.youtube.com/watch?v=jSFv1uZ70us
-1AcHWe4lFA,Locked Up: Prison Relics That Could Pay Off | Compilation | Pawn Stars,https://www.youtube.com/watch?v=-1AcHWe4lFA
wMgzLsjUsj4,Blast to the PAST! Best of the 80s | Pawn Stars,https://www.youtube.com/watch?v=wMgzLsjUsj4
DB0d4vu_H0A,Rock Royalty Relics: Iconic Music Memorabilia | Pawn Stars,https://www.youtube.com/watch?v=DB0d4vu_H0A
E4wdtmBKB0w,High-Dollar History: Rare Notes & Bank Treasures | Pawn Stars,https://www.youtube.com/watch?v=E4wdtmBKB0w
lM4Pas1zPQ8,STUNNINGLY VALUABLE COINS! *Mega Compilation* | Pawn Stars,https://www.youtube.com/watch?v=lM4Pas1zPQ8
SRK4JONPVPQ,"""Not a PENNY More!!"" Rick's Most Strict Deals | Pawn Stars",https://www.youtube.com/watch?v=SRK4JONPVPQ
3YEssSS8HqM,Legendary Apollo Mission Artifacts from NASA’s Moon Landings | Pawn Stars,https://www.youtube.com/watch?v=3YEssSS8HqM
wcH_cjP7bzc,18th Century Antique Finds! | Pawn Stars,https://www.youtube.com/watch?v=wcH_cjP7bzc
vPd_IwnazSo,The BEST Restored Items of All Time | Compilation | Pawn Stars,https://www.youtube.com/watch?v=vPd_IwnazSo
_ezYQ4G-mUY,"""THIS IS THE HOLY GRAIL!"" *14 Super Rare High Value Items* | Pawn Stars",https://www.youtube.com/watch?v=_ezYQ4G-mUY
IWBrfuFEq6w,Blueprints of History: From Disney to the Pentagon | Pawn Stars,https://www.youtube.com/watch?v=IWBrfuFEq6w
a_1Cu3kbjNE,Locked-Up Loot & Mobster Treasures | Pawn Stars,https://www.youtube.com/watch?v=a_1Cu3kbjNE
Po3LJEL4Hwo,Every Episode From Hardcore Pawn | Season 1 | Hardcore Pawn,https://www.youtube.com/watch?v=Po3LJEL4Hwo
xhGwH3D_yBY,TOP 10 PAWNS OF 2025! | Pawn Stars,https://www.youtube.com/watch?v=xhGwH3D_yBY
Sd1DPVQW8u4,RICK’S RISKIEST DEALS OF ALL TIME | Pawn Stars,https://www.youtube.com/watch?v=Sd1DPVQW8u4
a492b73S1xU,BIG BUCK$ HUNT - Super Rare Firearms Compilation | Pawn Stars,https://www.youtube.com/watch?v=a492b73S1xU
9H_d_FhqZAM,FASCINATING Medical Items (Elvis' Records & More!) | Pawn Stars,https://www.youtube.com/watch?v=9H_d_FhqZAM
dFWv7kaSJnA,The Best of Adam: Rare Pages & Priceless History | Pawn Stars,https://www.youtube.com/watch?v=dFWv7kaSJnA
CfPe2Tqf8-0,"""Not a Penny More!"" Rick's Steadfast Deals | Compilation | Pawn Stars",https://www.youtube.com/watch?v=CfPe2Tqf8-0
bhtwrIc8Aqo,Gangster Demands Drug Money! | Hardcore Pawn | Full Episode | S4 E8,https://www.youtube.com/watch?v=bhtwrIc8Aqo
5j75DMy1Hcw,Rebecca's BEST Book Appraisals! | Compilation | Pawn Stars,https://www.youtube.com/watch?v=5j75DMy1Hcw
E-LWI4LA0-Q,Vintage Ads That Sold History: Classic Signs & Collectibles | Compilation | Pawn Stars,https://www.youtube.com/watch?v=E-LWI4LA0-Q
WDp4WCb2Bo0,Gold Rush and Silver Scores | Mega-Compilation | Pawn Stars,https://www.youtube.com/watch?v=WDp4WCb2Bo0
qX-BbI5Ksvk,California Dreamin'! Rare Golden State Finds | Pawn Stars | History,https://www.youtube.com/watch?v=qX-BbI5Ksvk
Dc54zZ5ZiXQ,Striking Gold: Rare Coins That Shine in the Shop | Compilation | Pawn Stars,https://www.youtube.com/watch?v=Dc54zZ5ZiXQ
FCrEYMjh2Q0,HOLY SMOKES! Top 10 Cigar Memorabilia | Pawn Stars,https://www.youtube.com/watch?v=FCrEYMjh2Q0
8ikZAlHJIQE,Rick Just HAS to Have These Iconic Items | Pawn Stars,https://www.youtube.com/watch?v=8ikZAlHJIQE
Z1x7D9KRr5c,"Battle of the BIG Brands (McDonald's, Coca Cola, & More!) | Pawn Stars",https://www.youtube.com/watch?v=Z1x7D9KRr5c
dpeLS5J12Lo,GROOVY 1970s Nostalgic Deals | Pawn Stars,https://www.youtube.com/watch?v=dpeLS5J12Lo
m8z4wUlu8TI,"1800s Treasure Chest Needs Some Major Work! (S2, E27) | Pawn Stars",https://www.youtube.com/watch?v=m8z4wUlu8TI
9AyEppBgwm4,"""NO DEAL!"" Rick Stands His Ground On These Items | Pawn Stars",https://www.youtube.com/watch?v=9AyEppBgwm4
-nEbTE_kw2I,"Armored to the Teeth: Helmets, Suits, and Battle Gear | Pawn Stars",https://www.youtube.com/watch?v=-nEbTE_kw2I
HuMmBRug-iQ,Rick's Most AMAZING Pawns | Pawn Stars,https://www.youtube.com/watch?v=HuMmBRug-iQ
Vx5U0E-Jv-o,HIGH-VALUE Superhero Collectibles | Pawn Stars,https://www.youtube.com/watch?v=Vx5U0E-Jv-o
FbmV1WPoBfE,"MOVIE MADNESS! Star Wars, Austin Powers & More Valuable Props | Compilation | Pawn Stars",https://www.youtube.com/watch?v=FbmV1WPoBfE
37rZQjW43b8,"Will This Serpent Sword Strike a Deal? (S2, E27) | Pawn Stars",https://www.youtube.com/watch?v=37rZQjW43b8
o288oMXhYdM,5 Family Heirlooms With SHOCKING Price Tags | Pawn Stars,https://www.youtube.com/watch?v=o288oMXhYdM
ZJYC1QrMwfk,Locked Up: Prison Relics That Could Pay Off | Compilation | Pawn Stars,https://www.youtube.com/watch?v=ZJYC1QrMwfk
gUaOPs4ycp8,Rick's Most TRUSTED Experts Value Rare Items | Pawn Stars,https://www.youtube.com/watch?v=gUaOPs4ycp8
228NEzti-mU,Striking the Right Chord: Legendary Guitars in the Shop | Mega-Compilation | Pawn Stars,https://www.youtube.com/watch?v=228NEzti-mU
z-KOyHCA8Q0,"The Gang Makes a WHALE of an Offer (S2, E24) | Pawn Stars",https://www.youtube.com/watch?v=z-KOyHCA8Q0
jXSYBViu1fk,Civil War Stamp Worth a Fortune?!,https://www.youtube.com/watch?v=jXSYBViu1fk
DWnxHHluzkA,"Antique Jukebox Needs Some Major TLC (S2, E20) | Pawn Stars",https://www.youtube.com/watch?v=DWnxHHluzkA
Jw3Q7ZFvcJk,"Paul Revere Revolutionary War Bond! (S2, E20) | Pawn Stars",https://www.youtube.com/watch?v=Jw3Q7ZFvcJk
zuqnJ2KbbTY,"$4,000 TAYLOR SWIFT SIGNED GUITAR?! | Pawn Stars (S24)",https://www.youtube.com/watch?v=zuqnJ2KbbTY
vcf_YAIsCkg,Vintage Video Games & Arcade Classics | Pawn Stars,https://www.youtube.com/watch?v=vcf_YAIsCkg
1dXOnyHecRA,MILLION Dollar Asking Price for Exclusive Items | Compilation | Pawn Stars,https://www.youtube.com/watch?v=1dXOnyHecRA
OJQVHs2TOu4,One-of-a-Kind Rarities | Pawn Stars,https://www.youtube.com/watch?v=OJQVHs2TOu4
-ZEyQGoHZoM,Trick or Treat! Candy Machines & Sugary Collectibles | Compilation | Pawn Stars,https://www.youtube.com/watch?v=-ZEyQGoHZoM
FZp42637md0,7 Times Rick & the Seller Could NOT Agree | Pawn Stars,https://www.youtube.com/watch?v=FZp42637md0
dl9DpSgbif4,"“Happy Wife, Happy Life” (7 More Sweetheart Deals) | Pawn Stars",https://www.youtube.com/watch?v=dl9DpSgbif4
ISG9OZMH4w4,Through the Lens: Iconic Photos and Unforgettable Faces | Pawn Stars,https://www.youtube.com/watch?v=ISG9OZMH4w4
zaZ55WTdmzk,Super SICK Scooters 🛵 | Pawn Stars,https://www.youtube.com/watch?v=zaZ55WTdmzk
-7vDZyUClT4,TOP 10 DEALS OF 2024! | Pawn Stars,https://www.youtube.com/watch?v=-7vDZyUClT4
RdXaY81CY-g,Most Viewed Moments of 2022 *ULTIMATE COUNTDOWN* | Pawn Stars,https://www.youtube.com/watch?v=RdXaY81CY-g
W84V4FEV9oM,HIGH-END ITEMS WORTH MILLIONS OF DOLLARS! Mega Compilation | Pawn Stars,https://www.youtube.com/watch?v=W84V4FEV9oM
a8F6I-2mo5s,Rick is TOTALLY OBSESSED with These Collectibles | Compilation | Pawn Stars,https://www.youtube.com/watch?v=a8F6I-2mo5s
OwoR6ZA7dIU,Every Episode From Hardcore Pawn | Season 3 | Hardcore Pawn,https://www.youtube.com/watch?v=OwoR6ZA7dIU
RN2UDjM1yZo,VINTAGE Items from the 1800s! | Pawn Stars,https://www.youtube.com/watch?v=RN2UDjM1yZo
Ub7xXeOpH9U,CHUM'S BIG BIRTHDAY SURPRISE (Trip to Sturgis Part 1) | Pawn Stars,https://www.youtube.com/watch?v=Ub7xXeOpH9U
6xutVYCNO5c,"Danny DECKS OUT Motorcycle Frame for $18,000 (Season 3) | Pawn Stars",https://www.youtube.com/watch?v=6xutVYCNO5c
0bkRWY1XsoQ,1950s Treasures That STUNNED the Guys | Compilation | Pawn Stars,https://www.youtube.com/watch?v=0bkRWY1XsoQ
sz0NWf7k6cI,"7 Epic Historical Treasures (Viking Swords, JFK's Cigars, and More!) | Pawn Stars",https://www.youtube.com/watch?v=sz0NWf7k6cI
a9QpAE_0GKM,Gold and Silver Finds in the Wild West! | Pawn Stars,https://www.youtube.com/watch?v=a9QpAE_0GKM
I5cvnjQr_7M,Medical QUACKERY! Questionable Cures & Odd Devices | Pawn Stars,https://www.youtube.com/watch?v=I5cvnjQr_7M
V7aB6jjIE0c,Cleared for Takeoff: Rare Aviation Finds in the Shop | Compilation | Pawn Stars,https://www.youtube.com/watch?v=V7aB6jjIE0c
wjiRyIjgpJs,Time is Money! Shocking Watch Appraisals | Pawn Stars,https://www.youtube.com/watch?v=wjiRyIjgpJs
v82GyEEtCJA,TOP 5 CLASSIC CARS (Rare Finds & Big $$$ Deals) | Pawn Stars,https://www.youtube.com/watch?v=v82GyEEtCJA
GdYkcOepuzo,Sellers are FURIOUS Over These Offers | Compilation | Pawn Stars,https://www.youtube.com/watch?v=GdYkcOepuzo
